Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,2561,25.61092,97590,0.9979162,71.961
1,Piemonte,Maschi e femmine,1,97439,105,1.07248,97387,0.9990906,72.840
1,Piemonte,Maschi e femmine,2,97334,73,0.74606,97298,0.9993557,71.917
1,Piemonte,Maschi e femmine,3,97262,53,0.54247,97235,0.9995185,70.971
1,Piemonte,Maschi e femmine,4,97209,41,0.42058,97189,0.9996003,70.009
1,Piemonte,Maschi e femmine,5,97168,37,0.37884,97150,0.9996363,69.038
1,Piemonte,Maschi e femmine,6,97131,34,0.34846,97114,0.9996591,68.064
1,Piemonte,Maschi e femmine,7,97097,32,0.33339,97081,0.9996717,67.088
1,Piemonte,Maschi e femmine,8,97065,31,0.32314,97049,0.9996837,66.110
1,Piemonte,Maschi e femmine,9,97034,30,0.30945,97019,0.9996938,65.131
1,Piemonte,Maschi e femmine,10,97004,29,0.30298,96989,0.9996946,64.151
1,Piemonte,Maschi e femmine,11,96974,30,0.30786,96959,0.9996662,63.170
1,Piemonte,Maschi e femmine,12,96944,35,0.35973,96927,0.9996112,62.190
1,Piemonte,Maschi e femmine,13,96910,40,0.41791,96889,0.9995398,61.212
1,Piemonte,Maschi e femmine,14,96869,49,0.50244,96845,0.9994510,60.237
1,Piemonte,Maschi e femmine,15,96820,58,0.59561,96792,0.9993270,59.267
1,Piemonte,Maschi e femmine,16,96763,73,0.75036,96726,0.9991822,58.302
1,Piemonte,Maschi e femmine,17,96690,86,0.88521,96647,0.9990846,57.346
1,Piemonte,Maschi e femmine,18,96605,91,0.94552,96559,0.9990449,56.396
1,Piemonte,Maschi e femmine,19,96513,93,0.96477,96467,0.9990342,55.449
1,Piemonte,Maschi e femmine,20,96420,93,0.96687,96374,0.9990350,54.502
1,Piemonte,Maschi e femmine,21,96327,93,0.96303,96281,0.9990362,53.554
1,Piemonte,Maschi e femmine,22,96234,93,0.96451,96188,0.9990381,52.605
1,Piemonte,Maschi e femmine,23,96141,92,0.95935,96095,0.9990696,51.656
1,Piemonte,Maschi e femmine,24,96049,87,0.90150,96006,0.9991224,50.705
1,Piemonte,Maschi e femmine,25,95962,82,0.85369,95922,0.9991572,49.750
1,Piemonte,Maschi e femmine,26,95881,80,0.83199,95841,0.9991316,48.792
1,Piemonte,Maschi e femmine,27,95801,87,0.90487,95757,0.9990687,47.833
1,Piemonte,Maschi e femmine,28,95714,92,0.95771,95668,0.9990130,46.875
1,Piemonte,Maschi e femmine,29,95622,97,1.01635,95574,0.9989558,45.920
1,Piemonte,Maschi e femmine,30,95525,102,1.07214,95474,0.9989170,44.966
1,Piemonte,Maschi e femmine,31,95423,104,1.09387,95371,0.9989038,44.014
1,Piemonte,Maschi e femmine,32,95318,105,1.09862,95266,0.9988464,43.061
1,Piemonte,Maschi e femmine,33,95214,115,1.20870,95156,0.9987593,42.108
1,Piemonte,Maschi e femmine,34,95099,121,1.27281,95038,0.9987151,41.159
1,Piemonte,Maschi e femmine,35,94978,123,1.29702,94916,0.9986644,40.210
1,Piemonte,Maschi e femmine,36,94854,130,1.37414,94789,0.9985630,39.262
1,Piemonte,Maschi e femmine,37,94724,142,1.49986,94653,0.9984065,38.315
1,Piemonte,Maschi e femmine,38,94582,160,1.68729,94502,0.9981604,37.372
1,Piemonte,Maschi e femmine,39,94422,188,1.99227,94328,0.9978472,36.434
1,Piemonte,Maschi e femmine,40,94234,218,2.31355,94125,0.9975436,35.506
1,Piemonte,Maschi e femmine,41,94016,244,2.59948,93894,0.9973001,34.587
1,Piemonte,Maschi e femmine,42,93772,263,2.80066,93641,0.9971459,33.676
1,Piemonte,Maschi e femmine,43,93509,272,2.90777,93373,0.9969967,32.769
1,Piemonte,Maschi e femmine,44,93237,289,3.09919,93093,0.9967439,31.863
1,Piemonte,Maschi e femmine,45,92948,317,3.41354,92790,0.9963447,30.961
1,Piemonte,Maschi e femmine,46,92631,361,3.89787,92451,0.9958132,30.065
1,Piemonte,Maschi e femmine,47,92270,413,4.47678,92064,0.9953139,29.181
1,Piemonte,Maschi e femmine,48,91857,450,4.89634,91632,0.9949547,28.310
1,Piemonte,Maschi e femmine,49,91407,475,5.19505,91170,0.9944247,27.447
1,Piemonte,Maschi e femmine,50,90932,542,5.95760,90661,0.9936976,26.588
1,Piemonte,Maschi e femmine,51,90391,601,6.64922,90090,0.9931355,25.744
1,Piemonte,Maschi e femmine,52,89790,636,7.08121,89472,0.9928288,24.913
1,Piemonte,Maschi e femmine,53,89154,647,7.26188,88830,0.9925071,24.087
1,Piemonte,Maschi e femmine,54,88506,684,7.72564,88164,0.9919785,23.260
1,Piemonte,Maschi e femmine,55,87823,731,8.31962,87457,0.9907726,22.437
