Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,306,3.05952,99712,0.9996747,80.487
1,Piemonte,Maschi e femmine,1,99694,29,0.28864,99680,0.9997449,79.732
1,Piemonte,Maschi e femmine,2,99665,22,0.22150,99654,0.9998007,78.755
1,Piemonte,Maschi e femmine,3,99643,18,0.17704,99634,0.9998376,77.772
1,Piemonte,Maschi e femmine,4,99626,15,0.14771,99618,0.9998594,76.786
1,Piemonte,Maschi e femmine,5,99611,13,0.13352,99604,0.9998738,75.797
1,Piemonte,Maschi e femmine,6,99598,12,0.11889,99592,0.9998870,74.807
1,Piemonte,Maschi e femmine,7,99586,11,0.10703,99580,0.9998991,73.816
1,Piemonte,Maschi e femmine,8,99575,9,0.09470,99570,0.9999076,72.824
1,Piemonte,Maschi e femmine,9,99566,9,0.09002,99561,0.9999078,71.831
1,Piemonte,Maschi e femmine,10,99557,9,0.09446,99552,0.9999032,70.837
1,Piemonte,Maschi e femmine,11,99547,10,0.09922,99542,0.9998932,69.844
1,Piemonte,Maschi e femmine,12,99537,11,0.11442,99532,0.9998717,68.851
1,Piemonte,Maschi e femmine,13,99526,14,0.14220,99519,0.9998360,67.859
1,Piemonte,Maschi e femmine,14,99512,18,0.18589,99503,0.9997842,66.868
1,Piemonte,Maschi e femmine,15,99493,24,0.24568,99481,0.9997092,65.881
1,Piemonte,Maschi e femmine,16,99469,33,0.33596,99452,0.9996169,64.897
1,Piemonte,Maschi e femmine,17,99435,43,0.43022,99414,0.9995286,63.918
1,Piemonte,Maschi e femmine,18,99393,51,0.51260,99367,0.9994561,62.946
1,Piemonte,Maschi e femmine,19,99342,57,0.57532,99313,0.9994026,61.978
1,Piemonte,Maschi e femmine,20,99285,62,0.61947,99254,0.9993681,61.013
1,Piemonte,Maschi e femmine,21,99223,64,0.64429,99191,0.9993483,60.051
1,Piemonte,Maschi e femmine,22,99159,65,0.65917,99126,0.9993327,59.089
1,Piemonte,Maschi e femmine,23,99094,67,0.67551,99060,0.9993268,58.128
1,Piemonte,Maschi e femmine,24,99027,66,0.67082,98994,0.9993409,57.167
1,Piemonte,Maschi e femmine,25,98960,64,0.64727,98928,0.9993702,56.205
1,Piemonte,Maschi e femmine,26,98896,61,0.61233,98866,0.9994033,55.241
1,Piemonte,Maschi e femmine,27,98836,57,0.58097,98807,0.9994282,54.274
1,Piemonte,Maschi e femmine,28,98778,56,0.56271,98751,0.9994345,53.306
1,Piemonte,Maschi e femmine,29,98723,56,0.56827,98695,0.9994250,52.335
1,Piemonte,Maschi e femmine,30,98667,57,0.58171,98638,0.9994233,51.365
1,Piemonte,Maschi e femmine,31,98609,56,0.57160,98581,0.9994258,50.394
