Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,629,6.28503,99409,0.9993906,77.378
1,Piemonte,Maschi e femmine,1,99371,47,0.47297,99348,0.9995816,76.865
1,Piemonte,Maschi e femmine,2,99324,36,0.36379,99306,0.9996799,75.901
1,Piemonte,Maschi e femmine,3,99288,27,0.27639,99275,0.9997539,74.928
1,Piemonte,Maschi e femmine,4,99261,21,0.21591,99250,0.9997957,73.949
1,Piemonte,Maschi e femmine,5,99239,19,0.19267,99230,0.9998055,72.965
1,Piemonte,Maschi e femmine,6,99220,19,0.19624,99211,0.9998015,71.979
1,Piemonte,Maschi e femmine,7,99201,20,0.20072,99191,0.9997982,70.993
1,Piemonte,Maschi e femmine,8,99181,20,0.20279,99171,0.9998032,70.007
1,Piemonte,Maschi e femmine,9,99161,19,0.19089,99151,0.9998185,69.021
1,Piemonte,Maschi e femmine,10,99142,17,0.17214,99133,0.9998288,68.034
1,Piemonte,Maschi e femmine,11,99125,17,0.17018,99116,0.9998214,67.046
1,Piemonte,Maschi e femmine,12,99108,19,0.18693,99099,0.9997933,66.057
1,Piemonte,Maschi e femmine,13,99089,22,0.22652,99078,0.9997357,65.069
1,Piemonte,Maschi e femmine,14,99067,30,0.30209,99052,0.9996451,64.084
1,Piemonte,Maschi e femmine,15,99037,40,0.40767,99017,0.9995148,63.103
1,Piemonte,Maschi e femmine,16,98997,56,0.56273,98969,0.9993730,62.129
1,Piemonte,Maschi e femmine,17,98941,68,0.69131,98907,0.9992721,61.163
1,Piemonte,Maschi e femmine,18,98873,76,0.76443,98835,0.9992061,60.205
1,Piemonte,Maschi e femmine,19,98797,81,0.82343,98756,0.9991613,59.251
1,Piemonte,Maschi e femmine,20,98716,84,0.85393,98674,0.9991548,58.299
1,Piemonte,Maschi e femmine,21,98631,82,0.83645,98590,0.9991479,57.349
1,Piemonte,Maschi e femmine,22,98549,86,0.86773,98506,0.9991327,56.396
1,Piemonte,Maschi e femmine,23,98463,85,0.86684,98421,0.9991402,55.445
1,Piemonte,Maschi e femmine,24,98378,84,0.85267,98336,0.9991206,54.493
1,Piemonte,Maschi e femmine,25,98294,89,0.90617,98250,0.9990776,53.539
1,Piemonte,Maschi e femmine,26,98205,92,0.93862,98159,0.9990600,52.587
1,Piemonte,Maschi e femmine,27,98113,92,0.94131,98067,0.9990436,51.636
1,Piemonte,Maschi e femmine,28,98021,95,0.97153,97973,0.9990264,50.684
1,Piemonte,Maschi e femmine,29,97925,96,0.97570,97878,0.9989992,49.733
1,Piemonte,Maschi e femmine,30,97830,100,1.02599,97780,0.9989431,48.781
1,Piemonte,Maschi e femmine,31,97729,106,1.08787,97676,0.9989048,47.830
1,Piemonte,Maschi e femmine,32,97623,108,1.10263,97569,0.9988991,46.882
1,Piemonte,Maschi e femmine,33,97515,107,1.09918,97462,0.9989005,45.933
1,Piemonte,Maschi e femmine,34,97408,107,1.09986,97355,0.9989056,44.983
1,Piemonte,Maschi e femmine,35,97301,106,1.08901,97248,0.9988930,44.032
1,Piemonte,Maschi e femmine,36,97195,109,1.12503,97140,0.9988442,43.080
1,Piemonte,Maschi e femmine,37,97086,115,1.18659,97028,0.9987879,42.128
1,Piemonte,Maschi e femmine,38,96971,120,1.23756,96911,0.9987320,41.177
1,Piemonte,Maschi e femmine,39,96851,126,1.29848,96788,0.9986621,40.227
1,Piemonte,Maschi e femmine,40,96725,133,1.37735,96658,0.9985678,39.279
1,Piemonte,Maschi e femmine,41,96592,144,1.48717,96520,0.9984216,38.333
1,Piemonte,Maschi e femmine,42,96448,161,1.66975,96367,0.9982323,37.389
1,Piemonte,Maschi e femmine,43,96287,180,1.86590,96197,0.9980450,36.451
1,Piemonte,Maschi e femmine,44,96107,196,2.04430,96009,0.9978935,35.518
1,Piemonte,Maschi e femmine,45,95911,208,2.16882,95807,0.9977660,34.590
1,Piemonte,Maschi e femmine,46,95703,220,2.29924,95593,0.9975866,33.664
1,Piemonte,Maschi e femmine,47,95483,241,2.52786,95362,0.9972545,32.740
1,Piemonte,Maschi e femmine,48,95241,282,2.96365,95100,0.9967623,31.822
1,Piemonte,Maschi e femmine,49,94959,334,3.51247,94792,0.9962671,30.915
1,Piemonte,Maschi e femmine,50,94626,374,3.95402,94438,0.9958807,30.022
1,Piemonte,Maschi e femmine,51,94251,404,4.28520,94049,0.9956319,29.139
1,Piemonte,Maschi e femmine,52,93848,418,4.45137,93639,0.9954160,28.262
1,Piemonte,Maschi e femmine,53,93430,441,4.71718,93209,0.9951277,27.387
1,Piemonte,Maschi e femmine,54,92989,468,5.02817,92755,0.9947817,26.514
1,Piemonte,Maschi e femmine,55,92521,500,5.40939,92271,0.9943302,25.646
1,Piemonte,Maschi e femmine,56,92021,546,5.93165,91748,0.9937368,24.782
1,Piemonte,Maschi e femmine,57,91475,603,6.59667,91173,0.9930242,23.927
1,Piemonte,Maschi e femmine,58,90872,669,7.35736,90537,0.9921655,23.083
1,Piemonte,Maschi e femmine,59,90203,750,8.31512,89828,0.9911960,22.250
1,Piemonte,Maschi e femmine,60,89453,832,9.29692,89037,0.9901858,21.432
1,Piemonte,Maschi e femmine,61,88621,916,10.33631,88163,0.9892535,20.629
1,Piemonte,Maschi e femmine,62,87705,979,11.16092,87216,0.9884595,19.839
1,Piemonte,Maschi e femmine,63,86727,1034,11.92434,86209,0.9875786,19.057
