Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,271,2.71389,99745,0.9997462,81.295
1,Piemonte,Maschi e femmine,1,99729,19,0.18656,99719,0.9998275,80.515
1,Piemonte,Maschi e femmine,2,99710,16,0.15847,99702,0.9998528,79.530
1,Piemonte,Maschi e femmine,3,99694,14,0.13594,99687,0.9998729,78.543
1,Piemonte,Maschi e femmine,4,99681,12,0.11835,99675,0.9998881,77.553
1,Piemonte,Maschi e femmine,5,99669,11,0.10544,99664,0.9998985,76.562
1,Piemonte,Maschi e femmine,6,99658,10,0.09765,99653,0.9999042,75.570
1,Piemonte,Maschi e femmine,7,99649,9,0.09401,99644,0.9999053,74.578
1,Piemonte,Maschi e femmine,8,99639,10,0.09535,99634,0.9999030,73.585
1,Piemonte,Maschi e femmine,9,99630,10,0.09859,99625,0.9999017,72.592
1,Piemonte,Maschi e femmine,10,99620,10,0.09798,99615,0.9999021,71.599
1,Piemonte,Maschi e femmine,11,99610,10,0.09775,99605,0.9998984,70.606
1,Piemonte,Maschi e femmine,12,99600,10,0.10537,99595,0.9998796,69.613
1,Piemonte,Maschi e femmine,13,99590,13,0.13535,99583,0.9998463,68.620
1,Piemonte,Maschi e femmine,14,99576,17,0.17202,99568,0.9998017,67.629
1,Piemonte,Maschi e femmine,15,99559,22,0.22457,99548,0.9997550,66.641
1,Piemonte,Maschi e femmine,16,99537,26,0.26550,99524,0.9997148,65.656
1,Piemonte,Maschi e femmine,17,99511,30,0.30494,99495,0.9996762,64.673
1,Piemonte,Maschi e femmine,18,99480,34,0.34274,99463,0.9996332,63.692
1,Piemonte,Maschi e femmine,19,99446,39,0.39092,99427,0.9995948,62.714
1,Piemonte,Maschi e femmine,20,99407,42,0.41949,99386,0.9995766,61.738
1,Piemonte,Maschi e femmine,21,99366,42,0.42722,99344,0.9995836,60.764
1,Piemonte,Maschi e femmine,22,99323,40,0.40552,99303,0.9996009,59.790
1,Piemonte,Maschi e femmine,23,99283,39,0.39258,99263,0.9995959,58.814
1,Piemonte,Maschi e femmine,24,99244,41,0.41563,99223,0.9995666,57.837
1,Piemonte,Maschi e femmine,25,99203,45,0.45117,99180,0.9995353,56.861
1,Piemonte,Maschi e femmine,26,99158,47,0.47828,99134,0.9995137,55.886
1,Piemonte,Maschi e femmine,27,99110,49,0.49440,99086,0.9995058,54.913
1,Piemonte,Maschi e femmine,28,99061,49,0.49399,99037,0.9995137,53.939
1,Piemonte,Maschi e femmine,29,99012,47,0.47859,98989,0.9995189,52.966
1,Piemonte,Maschi e femmine,30,98965,48,0.48369,98941,0.9995178,51.991
1,Piemonte,Maschi e femmine,31,98917,48,0.48079,98893,0.9995120,51.016
1,Piemonte,Maschi e femmine,32,98870,49,0.49525,98845,0.9994949,50.040
1,Piemonte,Maschi e femmine,33,98821,51,0.51506,98795,0.9994650,49.065
1,Piemonte,Maschi e femmine,34,98770,55,0.55501,98742,0.9994235,48.090
1,Piemonte,Maschi e femmine,35,98715,59,0.59798,98685,0.9993818,47.116
1,Piemonte,Maschi e femmine,36,98656,63,0.63834,98624,0.9993459,46.144
1,Piemonte,Maschi e femmine,37,98593,66,0.66982,98560,0.9992946,45.173
1,Piemonte,Maschi e femmine,38,98527,73,0.74109,98490,0.9992206,44.203
1,Piemonte,Maschi e femmine,39,98454,81,0.81766,98414,0.9991434,43.236
1,Piemonte,Maschi e femmine,40,98373,88,0.89566,98329,0.9990449,42.271
1,Piemonte,Maschi e femmine,41,98285,100,1.01464,98235,0.9989430,41.308
1,Piemonte,Maschi e femmine,42,98186,108,1.09938,98132,0.9988561,40.350
1,Piemonte,Maschi e femmine,43,98078,117,1.18855,98019,0.9987504,39.393
1,Piemonte,Maschi e femmine,44,97961,128,1.31069,97897,0.9986151,38.440
1,Piemonte,Maschi e femmine,45,97833,143,1.45925,97761,0.9984803,37.489
1,Piemonte,Maschi e femmine,46,97690,154,1.58028,97613,0.9983200,36.543
1,Piemonte,Maschi e femmine,47,97536,174,1.77998,97449,0.9981640,35.601
1,Piemonte,Maschi e femmine,48,97362,184,1.89205,97270,0.9980266,34.663
1,Piemonte,Maschi e femmine,49,97178,200,2.05498,97078,0.9978236,33.728
1,Piemonte,Maschi e femmine,50,96978,223,2.29814,96867,0.9975592,32.796
1,Piemonte,Maschi e femmine,51,96755,250,2.58382,96630,0.9972771,31.871
1,Piemonte,Maschi e femmine,52,96505,276,2.86234,96367,0.9970043,30.952
1,Piemonte,Maschi e femmine,53,96229,301,3.12945,96078,0.9967679,30.039
1,Piemonte,Maschi e femmine,54,95928,320,3.33513,95768,0.9965112,29.132
1,Piemonte,Maschi e femmine,55,95608,348,3.64294,95434,0.9960486,28.228
1,Piemonte,Maschi e femmine,56,95260,406,4.26106,95057,0.9954222,27.329
1,Piemonte,Maschi e femmine,57,94854,464,4.89581,94621,0.9948147,26.444
1,Piemonte,Maschi e femmine,58,94389,517,5.47620,94131,0.9943394,25.572
1,Piemonte,Maschi e femmine,59,93872,549,5.84608,93598,0.9939008,24.710
1,Piemonte,Maschi e femmine,60,93324,593,6.35372,93027,0.9934876,23.852
1,Piemonte,Maschi e femmine,61,92731,619,6.67202,92421,0.9930369,23.002
1,Piemonte,Maschi e femmine,62,92112,668,7.25604,91778,0.9923821,22.153
1,Piemonte,Maschi e femmine,63,91444,730,7.98244,91079,0.9915546,21.311
1,Piemonte,Maschi e femmine,64,90714,808,8.91216,90309,0.9908144,20.478
1,Piemonte,Maschi e femmine,65,89905,851,9.46146,89480,0.9900392,19.658
1,Piemonte,Maschi e femmine,66,89054,932,10.46491,88589,0.9890167,18.841
1,Piemonte,Maschi e femmine,67,88123,1014,11.50721,87616,0.9880492,18.035
1,Piemonte,Maschi e femmine,68,87109,1080,12.39958,86568,0.9870595,17.239
1,Piemonte,Maschi e femmine,69,86028,1160,13.48820,85448,0.9859953,16.449
1,Piemonte,Maschi e femmine,70,84868,1233,14.52827,84252,0.9848428,15.667
1,Piemonte,Maschi e femmine,71,83635,1321,15.79535,82975,0.9832118,14.891
1,Piemonte,Maschi e femmine,72,82314,1465,17.79696,81582,0.9808867,14.122
1,Piemonte,Maschi e femmine,73,80849,1654,20.45348,80022,0.9782040,13.369
1,Piemonte,Maschi e femmine,74,79195,1835,23.16652,78278,0.9751879,12.637
1,Piemonte,Maschi e femmine,75,77361,2050,26.49679,76336,0.9718325,11.925
1,Piemonte,Maschi e femmine,76,75311,2251,29.88364,74186,0.9682179,11.236
1,Piemonte,Maschi e femmine,77,73060,2465,33.73908,71828,0.9645949,10.567
1,Piemonte,Maschi e femmine,78,70595,2621,37.12927,69285,0.9602153,9.918
1,Piemonte,Maschi e femmine,79,67974,2892,42.54252,66528,0.9546481,9.282
1,Piemonte,Maschi e femmine,80,65082,3143,48.28600,63511,0.9486218,8.672
1,Piemonte,Maschi e femmine,81,61940,3384,54.62722,60248,0.9413049,8.086
1,Piemonte,Maschi e femmine,82,58556,3689,62.99800,56712,0.9323699,7.525
1,Piemonte,Maschi e femmine,83,54867,3982,72.57362,52876,0.9227007,6.997
1,Piemonte,Maschi e femmine,84,50885,4193,82.39486,48789,0.9121925,6.506
