Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,220,2.19697,99793,0.9997152,81.417
1,Piemonte,Maschi e femmine,1,99780,31,0.30977,99765,0.9997339,80.596
1,Piemonte,Maschi e femmine,2,99749,22,0.22236,99738,0.9998093,79.620
1,Piemonte,Maschi e femmine,3,99727,16,0.15902,99719,0.9998624,78.638
1,Piemonte,Maschi e femmine,4,99711,12,0.11623,99706,0.9998942,77.650
1,Piemonte,Maschi e femmine,5,99700,10,0.09534,99695,0.9999091,76.659
1,Piemonte,Maschi e femmine,6,99690,9,0.08642,99686,0.9999140,75.667
1,Piemonte,Maschi e femmine,7,99682,9,0.08563,99677,0.9999156,74.673
1,Piemonte,Maschi e femmine,8,99673,8,0.08322,99669,0.9999184,73.679
1,Piemonte,Maschi e femmine,9,99665,8,0.08003,99661,0.9999229,72.686
1,Piemonte,Maschi e femmine,10,99657,7,0.07426,99653,0.9999278,71.691
1,Piemonte,Maschi e femmine,11,99649,7,0.07010,99646,0.9999282,70.697
1,Piemonte,Maschi e femmine,12,99642,7,0.07357,99639,0.9999175,69.702
1,Piemonte,Maschi e femmine,13,99635,9,0.09150,99631,0.9998921,68.707
1,Piemonte,Maschi e femmine,14,99626,12,0.12436,99620,0.9998579,67.713
1,Piemonte,Maschi e femmine,15,99614,16,0.15990,99606,0.9998255,66.721
1,Piemonte,Maschi e femmine,16,99598,19,0.18911,99588,0.9998046,65.732
1,Piemonte,Maschi e femmine,17,99579,20,0.20175,99569,0.9997956,64.744
1,Piemonte,Maschi e femmine,18,99559,21,0.20706,99548,0.9997855,63.757
1,Piemonte,Maschi e femmine,19,99538,22,0.22190,99527,0.9997624,62.770
1,Piemonte,Maschi e femmine,20,99516,25,0.25337,99503,0.9997263,61.784
1,Piemonte,Maschi e femmine,21,99491,29,0.29398,99476,0.9996847,60.800
1,Piemonte,Maschi e femmine,22,99462,33,0.33657,99445,0.9996539,59.817
1,Piemonte,Maschi e femmine,23,99428,35,0.35563,99410,0.9996475,58.837
1,Piemonte,Maschi e femmine,24,99393,35,0.34941,99375,0.9996580,57.858
1,Piemonte,Maschi e femmine,25,99358,33,0.33452,99341,0.9996768,56.878
1,Piemonte,Maschi e femmine,26,99325,31,0.31188,99309,0.9996959,55.897
1,Piemonte,Maschi e femmine,27,99294,29,0.29632,99279,0.9997035,54.914
1,Piemonte,Maschi e femmine,28,99264,29,0.29666,99250,0.9996968,53.930
1,Piemonte,Maschi e femmine,29,99235,31,0.30976,99220,0.9996643,52.946
1,Piemonte,Maschi e femmine,30,99204,36,0.36166,99186,0.9996047,51.962
1,Piemonte,Maschi e femmine,31,99168,43,0.42894,99147,0.9995477,50.981
1,Piemonte,Maschi e femmine,32,99126,47,0.47567,99102,0.9995070,50.003
1,Piemonte,Maschi e femmine,33,99079,51,0.51026,99053,0.9994980,49.026
1,Piemonte,Maschi e femmine,34,99028,49,0.49366,99004,0.9995101,48.051
1,Piemonte,Maschi e femmine,35,98979,48,0.48618,98955,0.9995115,47.075
1,Piemonte,Maschi e femmine,36,98931,49,0.49084,98907,0.9994971,46.097
1,Piemonte,Maschi e femmine,37,98883,51,0.51492,98857,0.9994704,45.120
1,Piemonte,Maschi e femmine,38,98832,54,0.54419,98805,0.9994185,44.143
1,Piemonte,Maschi e femmine,39,98778,61,0.61887,98747,0.9993342,43.166
1,Piemonte,Maschi e femmine,40,98717,70,0.71269,98682,0.9992347,42.193
1,Piemonte,Maschi e femmine,41,98646,81,0.81788,98606,0.9991361,41.223
1,Piemonte,Maschi e femmine,42,98566,90,0.90989,98521,0.9990450,40.256
1,Piemonte,Maschi e femmine,43,98476,98,1.00014,98427,0.9989727,39.292
1,Piemonte,Maschi e femmine,44,98377,104,1.05452,98326,0.9988781,38.331
1,Piemonte,Maschi e femmine,45,98274,117,1.18927,98215,0.9987303,37.371
1,Piemonte,Maschi e femmine,46,98157,133,1.35019,98091,0.9985683,36.415
1,Piemonte,Maschi e femmine,47,98024,148,1.51340,97950,0.9984058,35.463
1,Piemonte,Maschi e femmine,48,97876,164,1.67508,97794,0.9982271,34.516
1,Piemonte,Maschi e femmine,49,97712,183,1.87098,97621,0.9980440,33.573
1,Piemonte,Maschi e femmine,50,97529,199,2.04114,97430,0.9978571,32.635
1,Piemonte,Maschi e femmine,51,97330,218,2.24482,97221,0.9975923,31.701
1,Piemonte,Maschi e femmine,52,97112,250,2.57098,96987,0.9972454,30.771
1,Piemonte,Maschi e femmine,53,96862,285,2.93869,96720,0.9969308,29.849
1,Piemonte,Maschi e femmine,54,96577,309,3.20012,96423,0.9966633,28.936
1,Piemonte,Maschi e femmine,55,96268,334,3.47377,96101,0.9964009,28.027
1,Piemonte,Maschi e femmine,56,95934,357,3.72482,95755,0.9961274,27.123
1,Piemonte,Maschi e femmine,57,95577,384,4.02094,95384,0.9957420,26.223
1,Piemonte,Maschi e femmine,58,95192,428,4.49610,94978,0.9951559,25.326
1,Piemonte,Maschi e femmine,59,94764,492,5.19375,94518,0.9945021,24.439
1,Piemonte,Maschi e femmine,60,94272,547,5.80368,93998,0.9938672,23.564
1,Piemonte,Maschi e femmine,61,93725,606,6.46375,93422,0.9930657,22.698
1,Piemonte,Maschi e femmine,62,93119,690,7.40796,92774,0.9921679,21.843
1,Piemonte,Maschi e femmine,63,92429,763,8.25935,92048,0.9913768,21.002
1,Piemonte,Maschi e femmine,64,91666,824,8.99007,91254,0.9905742,20.173
1,Piemonte,Maschi e femmine,65,90842,896,9.86540,90394,0.9896710,19.351
1,Piemonte,Maschi e femmine,66,89946,971,10.79721,89460,0.9887774,18.539
1,Piemonte,Maschi e femmine,67,88974,1037,11.65256,88456,0.9878452,17.736
1,Piemonte,Maschi e femmine,68,87938,1114,12.66299,87381,0.9865343,16.939
1,Piemonte,Maschi e femmine,69,86824,1240,14.27876,86204,0.9848026,16.150
1,Piemonte,Maschi e femmine,70,85584,1380,16.12932,84894,0.9829026,15.377
1,Piemonte,Maschi e femmine,71,84204,1523,18.08126,83443,0.9811580,14.620
1,Piemonte,Maschi e femmine,72,82681,1622,19.61671,81870,0.9794741,13.880
1,Piemonte,Maschi e femmine,73,81060,1739,21.45323,80190,0.9777099,13.148
1,Piemonte,Maschi e femmine,74,79321,1836,23.14542,78403,0.9751649,12.425
