Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,1895,18.95252,98217,0.9984085,73.252
1,Piemonte,Maschi e femmine,1,98105,89,0.90697,98060,0.9992573,73.658
1,Piemonte,Maschi e femmine,2,98016,57,0.57837,97987,0.9995137,72.724
1,Piemonte,Maschi e femmine,3,97959,39,0.39422,97940,0.9996520,71.766
1,Piemonte,Maschi e femmine,4,97920,30,0.30170,97906,0.9996977,70.794
1,Piemonte,Maschi e femmine,5,97891,30,0.30281,97876,0.9997064,69.815
1,Piemonte,Maschi e femmine,6,97861,28,0.28442,97847,0.9997234,68.836
1,Piemonte,Maschi e femmine,7,97833,26,0.26872,97820,0.9997328,67.856
1,Piemonte,Maschi e femmine,8,97807,26,0.26569,97794,0.9997316,66.874
1,Piemonte,Maschi e femmine,9,97781,27,0.27116,97768,0.9997273,65.891
1,Piemonte,Maschi e femmine,10,97755,27,0.27428,97741,0.9997216,64.909
1,Piemonte,Maschi e femmine,11,97728,28,0.28247,97714,0.9997098,63.927
1,Piemonte,Maschi e femmine,12,97700,29,0.29801,97686,0.9996857,62.945
1,Piemonte,Maschi e femmine,13,97671,32,0.33049,97655,0.9996313,61.963
1,Piemonte,Maschi e femmine,14,97639,40,0.40700,97619,0.9995394,60.984
1,Piemonte,Maschi e femmine,15,97599,50,0.51427,97574,0.9994396,60.008
1,Piemonte,Maschi e femmine,16,97549,59,0.60656,97519,0.9993367,59.039
1,Piemonte,Maschi e femmine,17,97490,70,0.72002,97455,0.9992516,58.074
1,Piemonte,Maschi e femmine,18,97420,76,0.77680,97382,0.9992107,57.116
1,Piemonte,Maschi e femmine,19,97344,78,0.80176,97305,0.9992089,56.160
1,Piemonte,Maschi e femmine,20,97266,76,0.78050,97228,0.9992277,55.205
1,Piemonte,Maschi e femmine,21,97190,74,0.76418,97153,0.9992162,54.247
1,Piemonte,Maschi e femmine,22,97116,78,0.80340,97077,0.9991660,53.288
1,Piemonte,Maschi e femmine,23,97038,84,0.86456,96996,0.9991346,52.331
1,Piemonte,Maschi e femmine,24,96954,84,0.86627,96912,0.9991392,51.376
1,Piemonte,Maschi e femmine,25,96870,83,0.85541,96828,0.9991700,50.420
1,Piemonte,Maschi e femmine,26,96787,78,0.80448,96748,0.9992149,49.463
1,Piemonte,Maschi e femmine,27,96709,74,0.76569,96672,0.9991887,48.502
1,Piemonte,Maschi e femmine,28,96635,83,0.85695,96594,0.9991114,47.539
1,Piemonte,Maschi e femmine,29,96552,89,0.92031,96508,0.9990792,46.579
1,Piemonte,Maschi e femmine,30,96463,89,0.92123,96419,0.9990977,45.622
1,Piemonte,Maschi e femmine,31,96374,85,0.88341,96332,0.9991223,44.663
1,Piemonte,Maschi e femmine,32,96289,84,0.87200,96247,0.9991082,43.702
1,Piemonte,Maschi e femmine,33,96205,88,0.91167,96161,0.9990129,42.740
1,Piemonte,Maschi e femmine,34,96118,102,1.06262,96067,0.9988345,41.779
1,Piemonte,Maschi e femmine,35,96015,122,1.26846,95955,0.9986123,40.822
1,Piemonte,Maschi e femmine,36,95894,145,1.50714,95821,0.9984355,39.874
1,Piemonte,Maschi e femmine,37,95749,155,1.62193,95672,0.9983486,38.933
1,Piemonte,Maschi e femmine,38,95594,161,1.68101,95514,0.9982992,37.996
1,Piemonte,Maschi e femmine,39,95433,164,1.72053,95351,0.9982390,37.059
1,Piemonte,Maschi e femmine,40,95269,172,1.80155,95183,0.9981020,36.122
1,Piemonte,Maschi e femmine,41,95097,190,1.99469,95002,0.9978550,35.186
1,Piemonte,Maschi e femmine,42,94908,218,2.29552,94799,0.9975282,34.255
1,Piemonte,Maschi e femmine,43,94690,251,2.64848,94564,0.9972164,33.333
1,Piemonte,Maschi e femmine,44,94439,276,2.91907,94301,0.9969484,32.420
1,Piemonte,Maschi e femmine,45,94163,300,3.18452,94013,0.9966142,31.514
1,Piemonte,Maschi e femmine,46,93863,337,3.58782,93695,0.9962129,30.613
1,Piemonte,Maschi e femmine,47,93527,373,3.98707,93340,0.9957637,29.721
1,Piemonte,Maschi e femmine,48,93154,418,4.48649,92945,0.9951879,28.838
1,Piemonte,Maschi e femmine,49,92736,477,5.13912,92498,0.9946479,27.966
1,Piemonte,Maschi e femmine,50,92259,514,5.56608,92003,0.9942371,27.108
1,Piemonte,Maschi e femmine,51,91746,547,5.96087,91472,0.9937511,26.257
1,Piemonte,Maschi e femmine,52,91199,596,6.53868,90901,0.9931494,25.411
1,Piemonte,Maschi e femmine,53,90603,649,7.16453,90278,0.9925341,24.575
1,Piemonte,Maschi e femmine,54,89953,699,7.76954,89604,0.9918315,23.749
1,Piemonte,Maschi e femmine,55,89255,765,8.57051,88872,0.9910682,22.931
1,Piemonte,Maschi e femmine,56,88490,823,9.29614,88078,0.9904755,22.125
1,Piemonte,Maschi e femmine,57,87667,855,9.75501,87239,0.9901059,21.328
1,Piemonte,Maschi e femmine,58,86812,871,10.03462,86376,0.9895335,20.533
1,Piemonte,Maschi e femmine,59,85941,937,10.90278,85472,0.9884178,19.736
1,Piemonte,Maschi e femmine,60,85004,1043,12.26906,84482,0.9865673,18.948
1,Piemonte,Maschi e femmine,61,83961,1227,14.61087,83347,0.9841767,18.177
1,Piemonte,Maschi e femmine,62,82734,1411,17.05366,82029,0.9822808,17.439
1,Piemonte,Maschi e femmine,63,81323,1496,18.39639,80575,0.9812688,16.733
1,Piemonte,Maschi e femmine,64,79827,1522,19.07229,79066,0.9805862,16.037
1,Piemonte,Maschi e femmine,65,78305,1547,19.76185,77531,0.9794804,15.339
1,Piemonte,Maschi e femmine,66,76757,1634,21.29265,75940,0.9776567,14.638
1,Piemonte,Maschi e femmine,67,75123,1759,23.41684,74243,0.9749119,13.946
1,Piemonte,Maschi e femmine,68,73364,1966,26.79943,72381,0.9718839,13.268
1,Piemonte,Maschi e femmine,69,71398,2104,29.46894,70346,0.9689873,12.620
1,Piemonte,Maschi e femmine,70,69294,2259,32.60336,68164,0.9660122,11.988
1,Piemonte,Maschi e femmine,71,67034,2374,35.41886,65847,0.9625157,11.375
1,Piemonte,Maschi e femmine,72,64660,2562,39.62565,63379,0.9584683,10.775
1,Piemonte,Maschi e femmine,73,62098,2702,43.51647,60747,0.9539594,10.199
1,Piemonte,Maschi e femmine,74,59396,2891,48.67956,57950,0.9491527,9.640
1,Piemonte,Maschi e femmine,75,56504,3002,53.12602,55003,0.9446640,9.107
1,Piemonte,Maschi e femmine,76,53502,3085,57.67005,51960,0.9396050,8.590
1,Piemonte,Maschi e femmine,77,50417,3191,63.28675,48822,0.9336847,8.086
1,Piemonte,Maschi e femmine,78,47226,3285,69.54847,45584,0.9270758,7.598
1,Piemonte,Maschi e femmine,79,43942,3364,76.55221,42260,0.9196922,7.129
1,Piemonte,Maschi e femmine,80,40578,3424,84.37476,38866,0.9114388,6.678
1,Piemonte,Maschi e femmine,81,37154,3460,93.13334,35424,0.9024176,6.247
